Date,Open,High,Low,Close,Adj Close,Volume
2011-05-24,65.739998,66.230003,65.500000,65.779999,46.021980,11017700
2011-05-25,66.290001,66.589996,66.070000,66.290001,46.378792,14767100
2011-05-26,65.589996,65.779999,65.279999,65.510002,46.230595,12044100
2011-05-27,65.790001,66.970001,65.599998,66.769997,47.119778,16385700
2011-05-31,67.309998,67.339996,66.989998,67.290001,47.486736,16473800
2011-06-01,67.019997,67.290001,66.459999,66.480003,46.915123,11003400
2011-06-02,66.440002,66.760002,66.279999,66.480003,46.915123,9582900
2011-06-03,65.839996,66.360001,65.800003,66.089996,46.639896,10364900
2011-06-06,65.870003,66.220001,65.839996,66.050003,46.611671,8397400
2011-06-07,66.000000,66.279999,65.500000,65.500000,46.223522,10426800
2011-06-08,65.489998,66.230003,65.180000,66.139999,46.675201,10020300
2011-06-09,66.330002,67.279999,66.169998,66.779999,47.126831,14054500
2011-06-10,66.489998,66.680000,66.089996,66.089996,46.639896,9312900
2011-06-13,66.320000,66.959999,66.260002,66.589996,46.992752,8146200
2011-06-14,66.949997,67.360001,66.750000,67.099998,47.352661,11389100
2011-06-15,67.000000,67.000000,65.709999,66.160004,46.689312,12623500
2011-06-16,65.699997,66.349998,65.470001,66.320000,46.802212,11683900
2011-06-17,66.629997,66.949997,66.190002,66.290001,46.781048,14336400
2011-06-20,66.080002,66.739998,66.070000,66.510002,46.936298,9309200
2011-06-21,66.519997,66.750000,66.160004,66.489998,46.922184,9811500
2011-06-22,66.470001,66.620003,66.050003,66.070000,46.625786,7988100
2011-06-23,65.540001,65.739998,64.690002,65.669998,46.343513,16234800
2011-06-24,65.570000,65.610001,64.830002,65.059998,45.913029,13186200
2011-06-27,65.290001,65.610001,65.000000,65.250000,46.047119,7199500
2011-06-28,65.589996,66.120003,65.379997,65.910004,46.512875,7724600
2011-06-29,66.230003,66.589996,65.930000,66.309998,46.795155,9227000
2011-06-30,66.419998,66.910004,66.250000,66.519997,46.943336,9747200
2011-07-01,66.480003,67.360001,66.269997,67.300003,47.493797,9216500
2011-07-05,67.290001,67.669998,67.250000,67.620003,47.719627,9773600
2011-07-06,67.629997,67.750000,67.370003,67.550003,47.670223,7100400
2011-07-07,67.820000,68.050003,67.400002,67.919998,47.931343,8415200
2011-07-08,67.809998,67.989998,67.190002,67.570000,47.684353,7866100
2011-07-11,66.879997,67.410004,66.830002,67.269997,47.472630,8918900
2011-07-12,66.900002,67.680000,66.830002,67.029999,47.303257,10528700
2011-07-13,67.389999,67.980003,67.209999,67.629997,47.726685,9031700
2011-07-14,67.599998,67.930000,67.470001,67.660004,47.747849,9636500
2011-07-15,67.730003,67.949997,66.989998,67.449997,47.599648,10245100
2011-07-18,67.169998,67.349998,66.550003,67.089996,47.345608,10361000
2011-07-19,67.099998,67.220001,66.150002,66.720001,47.084499,13677400
2011-07-20,66.570000,66.900002,66.059998,66.239998,46.745754,8912600
2011-07-21,66.449997,66.790001,66.129997,66.470001,46.908054,11394100
2011-07-22,66.690002,66.790001,66.489998,66.720001,47.084499,7721000
2011-07-25,66.209999,66.430000,66.010002,66.250000,46.752808,10247700
2011-07-26,66.169998,66.320000,65.870003,65.919998,46.519936,10008300
2011-07-27,65.760002,65.870003,65.139999,65.230003,46.033001,12810400
2011-07-28,65.230003,65.620003,64.779999,65.080002,45.927143,9920400
2011-07-29,64.739998,64.930000,64.129997,64.790001,45.722488,16829000
2011-08-01,65.279999,65.330002,63.660000,64.410004,45.454323,15842200
2011-08-02,64.110001,64.349998,63.430000,63.430000,44.762737,17118300
2011-08-03,63.369999,63.529999,61.860001,63.410000,44.748619,17660300
2011-08-04,62.610001,63.160000,61.810001,61.840000,43.640656,23485600
2011-08-05,62.119999,63.430000,61.049999,62.709999,44.254623,24037800
2011-08-08,61.799999,62.580002,61.049999,61.119999,43.132561,32423200
2011-08-09,61.709999,62.369999,59.080002,62.200001,43.894722,36288000
2011-08-10,61.619999,61.959999,60.009998,60.200001,42.483322,32688900
2011-08-11,60.180000,64.190002,60.130001,63.439999,44.769794,33514400
2011-08-12,63.610001,63.990002,62.900002,63.360001,44.713333,42324600
2011-08-15,63.849998,64.620003,63.610001,64.589996,45.581345,39362000
2011-08-16,63.770000,64.709999,63.689999,64.360001,45.419044,13142100
2011-08-17,64.559998,64.849998,63.799999,64.260002,45.348461,11847600
